Indicators,Year,Age_Group,Gender,Value
Age dependency ratio (% of working-age population),2010,Total,Total,48.91315395
"Age dependency ratio, old (% of working-age population)",2010,Total,Total,11.06011611
"Age dependency ratio, young (% of working-age population)",2010,Total,Total,37.85303784
"Birth rate, crude (per 1,000 people)",2010,Total,Total,17.147
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2010,Reproductive Age,Total,8.266989581
"Cause of death, by non-communicable diseases (% of total)",2010,Total,Total,75.96775357
Current health expenditure (% of GDP),2010,Total,Total,3.7414515
"Death rate, crude (per 1,000 people)",2010,Total,Total,6.403
"Fertility rate, total (births per woman)",2010,Total,Total,2.134
"Hospital beds (per 1,000 people)",2010,Total,Total,3.51
"Incidence of HIV, all (per 1,000 uninfected population)",2010,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2010,Total,Total,0.14
"Incidence of tuberculosis (per 100,000 people)",2010,Total,Total,66
"Life expectancy at birth, female (years)",2010,Total,Female,78.2
"Life expectancy at birth, male (years)",2010,Total,Male,70.862
"Life expectancy at birth, total (years)",2010,Total,Total,74.463
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2010,Reproductive Age,Total,26
"Mortality rate, adult, female (per 1,000 female adults)",2010,Adult,Female,73.798
"Mortality rate, adult, male (per 1,000 male adults)",2010,Adult,Male,181.58
"Mortality rate, infant (per 1,000 live births)",2010,0-1,Total,9.1
"Mortality rate, infant, female (per 1,000 live births)",2010,0-1,Female,8.2
"Mortality rate, infant, male (per 1,000 live births)",2010,0-1,Male,10
Number of maternal deaths,2010,Reproductive Age,Total,93
"Nurses and midwives (per 1,000 people)",2010,Total,Total,1.711
"Physicians (per 1,000 people)",2010,Total,Total,0.71
Population ages 0-14 (% of total population),2010,Total,Total,25.41954057
Population ages 15-64 (% of total population),2010,Total,Total,67.15323164
Population ages 65 and above (% of total population),2010,Total,Total,7.427227788
"Population, female",2010,Total,Female,10710896
"Population, female (% of total population)",2010,Total,Female,51.29963285
"Population, male",2010,Total,Male,10168193
"Population, male (% of total population)",2010,Total,Male,48.70036715
"Population, total",2010,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2010,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2010,15-24,Male,0.1
Sex ratio at birth (male births per female births),2010,Total,Female,1.045
"Suicide mortality rate (per 100,000 population)",2010,Total,Total,17.34
"Suicide mortality rate, female (per 100,000 female population)",2010,Total,Female,7.58
"Suicide mortality rate, male (per 100,000 male population)",2010,Total,Male,27.61
"Survival to age 65, female (% of cohort)",2010,Total,Female,87.481604
"Survival to age 65, male (% of cohort)",2010,Total,Male,72.546589
Age dependency ratio (% of working-age population),2011,Total,Total,49.23949407
"Age dependency ratio, old (% of working-age population)",2011,Total,Total,11.46166499
"Age dependency ratio, young (% of working-age population)",2011,Total,Total,37.77782908
"Birth rate, crude (per 1,000 people)",2011,Total,Total,17.091
Current health expenditure (% of GDP),2011,Total,Total,3.5819521
"Death rate, crude (per 1,000 people)",2011,Total,Total,6.407
"Fertility rate, total (births per woman)",2011,Total,Total,2.144
